token,name,type,guiname,leave_approval,join_approval,requiremilitancy,base threat,low threat,medium,high,required,radicalisationrate,de-radical rate,groups,,
#,FarmersSociety,PROTEST,Sociedade dos Agricultores,0.7,0.35,0.3,0.6,A Sociedade Agricultores criticou abertamente a politica do governo em questoes rurais.,A Sociedade Agricultores tem alertado que eles vao resistir a ataques a vida rural por todos os meios a sua disposicao.,A Sociedade Agricultores alertam o governo que muitos agricultores e cidadaos rurais sentem que tem nada a perder quando se trata de combater o governo.,Farmers,0.07875,0.039375,"Poor,0.25","Farmers,0.75",
,,,,,,,,,,,required,radic join,radic leave,parent,radicalisation rate,
#,CrusadersOfTheLord,EXTREMIST,Cruzados do Senhor,,,0.7,1,Os servicos de inteligencia reportar crescente preocupacao com uma pequena organizacao religiosa extremista conhecido como os Cruzados do Senhor '. Devemos manter um olhar atento sobre suas atividades.,Nossos servicos de inteligencia relatam serias preocupacoes sobre as acoes dos grupos religiosos extremistas que sao chamados por Cruzados do Senhor. Ha uma ameaca moderada de ataques violentos desse grupo em um futuro proximo.,"Nossos especialistas em inteligencia expressa preocupacao sobre uma grande e possivel ameca dos 'Crusados do Senhor', uma organizacao de religiosos extremistas que tem feito um numero alto de ameacas ao governo.",Religious,0.6,0.3,TheChurchOfChrist,0.1,
#,FreedomLeague,EXTREMIST,Liga da Liberdade,,,0.75,0.7,Os nossos servicos de seguranca estao preocupados com um forte apoio para o grupo de campanha de direitos humanos extremista conhecido como a 'Liga da Liberdade'. Este grupo pode constituir uma ameaca grave no futuro.,Nossos especialistas em seguranca estao nos advertindo sobre as capacidades de crescimento e pontos fortes do grupo extremista conhecido como o 'Liga da Liberdade'. Este grupo tem tanto a motivacao e pessoal para a realizacao de ataques graves contra o nosso governo.,Nossos especialistas de inteligencia estao preocupados com ataques iminentes sobre o governo por parte do grupo extremista popular e perigoso que se autodenominam de 'Liga da Liberdade'. Precisamos estar em alerta maximo.,Liberal,0.6,0.3,HumanRightsSociety,0.1,
#,RevolutionaryArmy,EXTREMIST,Exercito Revolucionario,,,0.7,1,Estamos monitorando comunicacao extensiva extremista entre um grupo de ativistas comunistas que se autodenominam 'Exercito Revolucionario'. Precisamos manter um olho sobre este grupo.,O grupo extrema esquerda conhecido como o 'Exercito Revolucionario' esta crescendo em forca e podem representar uma seria ameaca para o nosso governo a medio prazo. ,"Ha um perigo muito real de ataque a instituicoes governamentais pelo grupo de extrema esquerda chamado de 'Exercito Revolucionario'. Este grupo e grande, motivado e bem equipados.",Socialist,0.6,0.3,TheCommunistParty,0.1,
#,TheMoralCrusade,EXTREMIST,A Cruzada Moral,,,0.7,0.96,"Nossos especialistas em seguranca afirmam que eles tem monitorado as comunicacoes entre os membros do que parece ser um grupo conservador extremista chamado de A Cruzada Moral, que baseia-se em apoio dos eleitores conservadores.",Nossos especialistas em inteligencia estao mostrando crescente preocupacao sobre as capacidades e motivacoes do grupo terrorista conservador conhecido como 'A Cruzada Moral'. Este grupo deve ser considerado uma ameaca ativa.,Nosso pessoal de seguranca estao mostrando preocupacao urgente sobre as capacidades e motivacoes do grupo terrorista conservador conhecido como 'A Cruzada Moral'. Este grupo deve ser considerado um perigo real e presente.,Conservatives,0.6,0.3,TraditionalValuesAlliance,0.1,
#,WarriorsOfGaia,EXTREMIST,Guerreiros de Gaia,,,0.7,1,"Os especialistas em servicos de inteligencia tem manifestado preocupacao com os 'Guerreiros de Gaia', uma organizacao extremista ambientalista que podem representar uma seria ameaca para as instituicoes governamentais.","Especialistas em seguranca estao preocupados que o grupo terrorista Verde conhecidos como os 'Guerreiros de Gaia' esta crescendo em ambicao e capacidade, e sao uma ameaca para ser levado muito a serio.",Nossos especialistas de inteligencia estao muito preocupados com a ameaca ao governo e a voce pela celula terrorista verde extremista chamado dos 'Guerreiros de Gaia'.,Environmentalist,0.6,0.3,FriendsOfThePlanet,0.1,
#,PatriotArmy,EXTREMIST,Exercito Patriota,,,0.7,0.96,Os servicos de seguranca detectaram um crescimento no apoio a organizacoes extremistas patrioticas e tem preocupacoes sobre um grupo chamado 'Exercito Patriota'.,Nossas forcas de seguranca interceptaram evidencias sugerindo que o grupo terrorista patriotica 'O Exercito Patriota' representa uma ameaca real que precisa ser acompanhada de perto.,Temos provas de que o grupo terrorista extremista 'O Exercito Patriota' tem a mao de obra e capacidade de representar uma ameaca real para o nosso governo. Precisamos estar em alerta maximo.,Patriot,0.6,0.3,ThePatriotParty,0.1,
#,BlackPowerGroup,EXTREMIST,Grupo do Poder Negro,,,0.7,0.96,"Os nossos servicos de seguranca estao preocupados que ha elementos extremistas dentro das minorias etnicas que estao chamando-se o 'Grupo Poder Negro', o que pode tornar-se uma seria ameaca a lei e a ordem.",Nos temos evidencia de uma ameaca real de um grupo etnico terrorista extremista conhecido como o 'Grupo Poder Negro'. Este grupo esta agora sendo ativamente monitorado em caso eles tentam acao violenta.,Nosso pessoal de seguranca tem serias preocupacoes sobre a ameaca terrorista real para nos a partir da organizacao que se autodenominam 'Grupo Poder Negro'. Todo mundo esta em alerta maximo para um ataque.,EthnicMinorities,0.6,0.3,EqualityNow,0.1,
#,BattenburgGroup,EXTREMIST,Grupo Battenburg,,,0.7,0.96,Nossos especialistas em seguranca estao preocupados com a ameaca potencial de seguranca de uma organizacao sombria extremamente bem financiada composta de varios ricos industriais chamado de 'Grupo Battenburg'.,Nossos especialistas de inteligencia interceptaram comunicacoes que sugere o grupo terrorista financiado por corporacoes pro-capitalista conhecido como o 'Grupo Battenburg' pode considerar a acao contra o nosso Estado.,"Embora nos nao podemos provar nada, os nossos especialistas em inteligencia estao convencidos de que a ameaca terrorista seria do misterioso 'Grupo Battenburg' e de fato a ser apoiados diretamente pelas corporacoes ricas e poderosas. A ameaca e aguda.",Capitalist,0.6,0.3,BusinessFirst,0.1,
#,TheLandArmy,EXTREMIST,O Exercito da Terra,,,0.7,0.8,"Nossa equipe de seguranca estao agora monitorando rotineiramente as comunicacoes dentro de um grupo de manifestantes anti-governo rurais conhecidas como O Exercito da Terra ', que esta atraindo o apoio de agricultores e outras comunidades rurais.",Nossa equipe de inteligencia informam que existem preocupacoes genuinas sobre a acao terrorista do grupo terrorista de pressao rural que se autodenominam 'O Exercito da Terra'.,"Agora ha ampla evidencia de que o grupo terrorista rural 'O Exercito da Terra' composta principalmente de agricultores descontentes, tem a capacidade e mao de obra para realizar um ataque terrorista grave contra nosso governo.",Farmers,0.6,0.3,FarmersSociety,0.1,
